,Country,Population,GDP2,Trillion vs Billion,GDP
1,Afghanistan,31822848,45.3,1000000000,45300000000
2,Albania,3020209,12.8,1000000000,12800000000
3,Algeria,38813722,284.7,1000000000,2.847E+11
4,Argentina,43024374,771,1000000000,7.71E+11
5,Azerbaijan,9686210,102.7,1000000000,1.027E+11
6,Bahamas,321834,8.373,1000000000,8373000000
7,Belarus,9608058,69.24,1000000000,69240000000
8,Brazil,205716890,2.282,1E+12,2.282E+12
9,Burundi,10395931,5.75,1000000000,5750000000
10,Croatia,4470534,78.9,1000000000,78900000000
11,Cuba,11047251,121,1000000000,1.21E+11
12,Czech Republic,10627448,194.8,1000000000,1.948E+11
13,Denmark,5569077,211.3,1000000000,2.113E+11
14,Ethiopia,96633458,118.2,1000000000,1.182E+11
15,Fiji,903207,4.45,1000000000,4450000000
16,Finland,5268799,221.5,1000000000,2.215E+11
17,France,66259012,2.902,1E+12,2.902E+12
18,Georgia (Country),4935880,34.27,1000000000,34270000000
19,Greece,10775557,267.1,1000000000,2.671E+11
20,Grenada,110152,1.458,1000000000,1458000000
21,India,1236344631,4.99,1E+12,4.99E+12
22,Indonesia,253609643,1.285,1E+12,1.285E+12
23,Iran,80840713,987.1,1000000000,9.871E+11
24,Ireland,4832765,190.4,1000000000,1.904E+11
25,Israel,7821850,273.2,1000000000,2.732E+11
26,Italy,61680122,1.805,1E+12,1.805E+12
27,Japan,127103388,4.729,1000000000,4729000000
28,Jordan,6508887,37.37,1000000000,37370000000
29,Kenya,45010056,79.9,1000000000,79900000000
30,Latvia,2165165,38.87,1000000000,38870000000
31,Lithuania,3505738,67.43,1000000000,67430000000
32,Malaysia,30073353,525,1000000000,5.25E+11
33,Mexico,120286655,1.2,1000000000,1200000000
34,Mongolia,2953190,17.03,1000000000,17030000000
35,Morocco,33986655Â ,146.7,1000000000,1.467E+11
36,Netherlands,16877351,699.7,1000000000,6.997E+11
37,New Zealand,4401916,114.9,1000000000,1.149E+11
38,Nigeria,177155754,478.5,1000000000,4.785E+11
39,Philippines,107668231,454.3,1000000000,4.543E+11
40,Puerto Rico,3998905,64.84,1000000000,64840000000
41,Qatar,2123160,198.7,1000000000,1.987E+11
42,Slovakia,5443583,133.4,1000000000,1.334E+11
43,Slovenia,1988292,57.36,1000000000,57360000000
44,South Africa,48375645,595.7,1000000000,5.957E+11
45,Spain,47737941,1.389,1E+12,1.389E+12
46,Sweden,9723809,393.8,1000000000,3.938E+11
47,Switzerland,8061516,371.2,1000000000,3.712E+11
48,Taiwan,23359928,926.4,1000000000,9.264E+11
49,Tajikistan,8051512,19.2,1000000000,19200000000
50,Thailand,67741401,673,1000000000,6.73E+11
51,Tunisia,10937521,108.4,1000000000,1.084E+11
52,Turkey,81619392,1.167,1E+12,1.167E+12
53,Ukraine,44291413,333.7,1000000000,3.337E+11
54,United Arab Emirates,5628805,269.8,1000000000,2.698E+11
55,United Kingdom,63742977,2.387,1E+12,2.387E+12
56,United States Profile,318892103,16.72,1000000000,16720000000
57,Uzbekistan,28929716,112.6,1000000000,1.126E+11
58,Venezuela,28868486,407.4,1000000000,4.074E+11